10670,7 10 25 26 35 41 47 50 52 54 64 67 79 
10309,5 15 18 28 43 45 50 51 53 54 56 61 65 66 67 81 90 92 95 
10308,2 6 18 23 25 26 51 55 62 64 65 77 78 80 84 88 89 
10669,2 5 8 12 21 22 23 28 30 38 40 41 43 54 56 63 70 74 75 83 88 96 
10668,10 13 26 36 37 39 46 56 59 64 73 80 81 82 91 96 
10307,1 20 29 32 39 42 43 55 59 74 75 78 79 80 82 89 
10306,1 7 14 25 30 45 48 50 54 58 60 70 71 75 78 81 96 97 99 
10667,3 7 11 16 23 25 26 30 33 34 37 41 43 48 50 57 62 63 72 
10305,11 12 17 26 28 29 30 32 43 47 50 61 67 82 87 88 89 96 97 
10666,1 3 7 13 14 19 36 38 39 58 65 80 85 
10304,13 16 30 33 40 44 50 51 57 58 60 61 63 67 81 85 96 
10665,2 7 10 11 12 16 22 24 26 35 36 44 46 59 60 65 67 72 76 78 89 98 
10303,8 13 17 25 37 39 44 46 53 55 64 65 75 83 94 98 
10664,3 4 7 17 25 28 34 44 45 46 53 55 58 70 82 88 98 99 100 
10302,1 3 7 12 15 17 25 28 34 47 67 69 71 73 77 85 91 96 98 
10663,2 4 7 24 29 32 39 42 43 46 53 59 61 
10301,5 6 11 30 31 34 36 49 52 53 54 55 63 69 71 73 75 82 87 92 96 100 
10662,2 3 9 11 16 17 27 30 32 35 37 38 40 45 49 50 52 61 63 68 72 86 91 
10661,13 15 16 25 42 43 51 57 62 65 68 72 75 77 78 86 88 
10300,1 3 5 21 23 30 35 37 63 67 72 74 80 82 83 99 
10660,33 39 40 41 47 66 72 75 82 93 98 100 
10659,1 10 18 23 26 30 31 37 40 45 50 58 59 64 67 68 70 71 75 80 82 83 90 91 93 96 
10658,3 6 8 10 15 21 25 33 34 35 36 40 42 45 47 54 58 69 74 82 83 89 95 99 
10657,1 4 10 16 17 23 26 28 30 33 37 39 47 55 66 67 76 78 79 86 89 91 100 
10656,4 10 11 13 15 16 17 26 27 28 31 34 38 42 45 49 51 55 58 63 67 68 69 77 84 87 88 91 93 
10655,8 18 19 44 49 51 53 54 60 65 66 70 71 74 79 80 82 83 84 90 91 98 
10654,3 5 14 15 23 31 34 39 40 43 47 51 53 56 57 59 68 69 75 80 82 93 96 
10653,4 15 16 22 33 34 40 48 69 72 75 79 89 91 
10652,4 18 24 32 34 39 49 50 59 60 61 65 70 74 75 78 86 98 
10651,2 4 20 21 23 31 32 41 42 46 48 51 52 55 79 81 85 87 92 94 
10650,7 8 9 10 14 17 20 24 36 40 42 49 51 53 54 61 73 74 78 79 85 86 89 91 94 96 97 
10649,8 10 17 18 19 20 23 29 33 34 36 40 48 51 53 55 65 75 78 79 83 88 92 100 
10648,6 20 22 23 31 36 42 45 48 57 59 63 75 76 81 82 85 91 95 96 98 99 100 
10647,2 8 18 21 25 27 36 37 39 41 43 44 47 66 73 75 77 82 93 96 
10646,2 13 26 34 41 42 43 49 54 61 64 66 75 82 86 94 97 
10645,4 5 13 24 25 44 45 49 56 60 61 62 81 89 92 99 
10644,3 6 15 16 18 26 42 51 56 61 67 69 70 72 77 95 100 
10643,1 10 11 24 25 30 38 40 42 43 48 50 52 67 86 95 96 
10642,19 24 26 29 57 59 60 62 64 69 72 75 
10641,6 18 26 27 28 29 33 37 40 52 60 67 69 75 86 97 
10640,8 10 11 16 28 33 37 52 53 69 75 77 84 87 91 92 95 96 
10639,1 4 10 24 30 34 42 55 64 65 66 77 81 83 87 92 
10638,8 15 20 21 24 25 30 42 55 58 64 69 76 93 94 99 100 
10999,1 5 9 11 15 17 26 30 31 32 40 43 48 49 52 56 58 59 62 73 76 79 95 96 98 99 
10637,7 9 10 16 22 34 35 39 47 49 53 58 59 63 65 73 78 91 95 99 
10998,4 10 22 24 27 29 32 33 35 38 51 52 62 66 67 72 80 82 84 85 91 97 
10636,10 11 12 23 25 26 27 29 39 42 50 51 63 71 85 86 99 100 
10997,1 9 24 37 38 40 49 55 58 60 62 87 91 92 97 99 
10635,2 7 11 15 17 18 19 23 25 29 45 49 52 83 92 93 
10996,2 5 6 15 34 35 37 39 43 53 56 60 65 77 79 81 84 85 87 90 93 
10995,6 8 20 22 30 32 33 41 42 49 52 56 59 62 67 69 86 89 95 96 99 
10634,1 5 6 7 8 11 27 29 40 44 58 66 68 71 79 93 94 95 98 99 100 
10633,3 15 19 20 21 23 27 29 31 32 42 54 58 61 68 72 97 100 
10994,2 8 12 13 14 16 17 25 39 45 65 68 72 80 82 88 
10632,22 24 27 29 31 32 35 37 45 53 61 75 82 84 96 
10993,14 16 19 20 23 24 31 44 46 48 55 58 61 65 69 82 92 95 100 
10992,4 7 13 20 31 33 34 39 41 45 48 56 57 61 67 71 78 86 88 91 94 
